Country,AvgDaysInTop10,AvgDaysToTop10,AvgMaxPosition,TrackCount,Streams,Group
United States,25,8,4,66,7085055788,US of A
Guatemala,72,4,4,23,42632096,Love you long time
Bolivia,75,11,4,20,26177486,Love you long time
Colombia,78,11,4,19,156223930,Love you long time
Ecuador,78,6,4,18,60442745,Love you long time
Dominican Republic,85,5,2,17,29509899,Love you long time
Argentina,92,7,3,16,447676743,Love you long time
Peru,94,9,3,16,216041656,Love you long time
Chile,100,2,2,15,440286940,Love you long time
Paraguay,86,5,3,15,37841583,Love you long time
Italy,41,34,5,47,908033146,Laggards
France,40,39,5,43,715088880,Laggards
Mexico,63,34,5,28,1377295833,Laggards
Global,53,14,4,96,44857775906,Global Average
Bulgaria,25,4,4,67,5673061,Freshers
Malta,28,6,4,67,7412192,Freshers
Thailand,37,4,4,45,58958072,Freshers
Vietnam,35,8,4,43,24958536,Freshers
Luxembourg,39,4,4,41,3812520,Freshers
Nicaragua,27,3,4,22,2452315,Freshers
Belgium,18,4,5,7,6124164,Freshers
Honduras,11,1,7,4,623008,Freshers
Uruguay,14,1,5,4,1101481,Freshers
Finland,17,0,2,3,3099722,Freshers
India,12,0,5,3,3352691,Freshers
Lithuania,32,13,4,135,30441350,Main Group
Slovakia,39,13,4,134,55968985,Main Group
Czech Republic,47,18,4,124,180443064,Main Group
Hungary,48,17,4,121,138603042,Main Group
Estonia,30,15,4,117,21791998,Main Group
Latvia,36,18,5,116,29428384,Main Group
Taiwan,45,11,4,114,253945467,Main Group
Hong Kong,50,11,4,112,164609748,Main Group
Ireland,49,19,4,110,486640139,Main Group
Greece,41,10,4,109,56915541,Main Group
United Kingdom,46,19,4,100,4208182549,Main Group
Australia,49,17,4,99,2260573106,Main Group
Singapore,61,16,4,99,524307209,Main Group
Poland,45,20,4,98,517873705,Main Group
Norway,43,17,5,96,1010829211,Main Group
Malaysia,62,17,4,93,426949527,Main Group
Switzerland,51,21,4,92,307615525,Main Group
New Zealand,48,16,4,91,461472921,Main Group
Austria,46,24,5,89,196185481,Main Group
Canada,39,17,4,88,1582021157,Main Group
Sweden,44,16,5,88,1622378984,Main Group
Portugal,51,19,4,85,238217071,Main Group
Germany,43,26,5,81,2786434433,Main Group
Indonesia,64,16,4,80,972611823,Main Group
Japan,52,17,5,75,194039427,Main Group
Netherlands,41,24,5,73,1449447474,Main Group
Philippines,59,18,4,66,1525968763,Main Group
Denmark,43,13,4,58,419663018,Main Group
Romania,29,16,4,56,29785088,Main Group
Iceland,41,12,5,52,27979378,Main Group
Turkey,51,15,5,43,304577984,Main Group
South Africa,34,15,5,40,19146264,Main Group
Israel,41,21,5,39,33516006,Main Group
Brazil,21,13,5,34,969779641,Main Group
Costa Rica,58,24,5,34,95015959,Main Group
El Salvador,61,15,5,29,28283631,Main Group
Spain,57,20,5,27,821864067,Main Group
Panama,61,11,4,25,32471394,Main Group
