ArtistTrack,Country,DateOfTop10,DaysInTop10,DaysToTop10,MaxPosition,ReleaseDate,Streams,Group
Shawn Mendes - Señorita,Honduras,6/24/2019 0:00,4,3,8,6/21/2019 0:00,50780,Freshers
Bad Bunny - Solo de Mi,Honduras,,,,46,6/5/2019 0:00,50773,Freshers
Lunay - Soltera - Remix,Honduras,6/5/2019 0:00,25,0,3,6/5/2019 0:00,301848,Freshers
Nicky Jam - Te Robaré,Honduras,6/5/2019 0:00,2,0,10,6/5/2019 0:00,131962,Freshers
BTS - Boy With Luv (feat. Halsey),Honduras,,,,129,6/5/2019 0:00,16180,Freshers
Shawn Mendes - If I Can't Have You,Honduras,,,,113,6/5/2019 0:00,25018,Freshers
Queen - Another One Bites The Dust - Remastered 2011,Honduras,,,,108,6/5/2019 0:00,27102,Freshers
Anuel Aa - Secreto,Honduras,,,,16,6/5/2019 0:00,97989,Freshers
Ed Sheeran - I Don't Care (with Justin Bieber),Honduras,,,,37,6/5/2019 0:00,62496,Freshers
Jonas Brothers - Sucker,Honduras,,,,85,6/5/2019 0:00,2939,Freshers
Billie Eilish - bury a friend,Honduras,,,,140,6/5/2019 0:00,8353,Freshers
Sam Smith - Dancing With A Stranger (with Normani),Honduras,,,,71,6/5/2019 0:00,38293,Freshers
Queen - Bohemian Rhapsody - Remastered 2011,Honduras,,,,79,6/5/2019 0:00,36585,Freshers
Daddy Yankee - Con Calma,Honduras,6/6/2019 0:00,12,1,7,6/5/2019 0:00,138418,Freshers
Nicky Jam - X,Honduras,,,,179,6/8/2019 0:00,1032,Freshers
Billie Eilish - bad guy,Honduras,,,,27,6/5/2019 0:00,80833,Freshers
Ariana Grande - 7 rings,Honduras,,,,52,6/5/2019 0:00,45005,Freshers
Nio Garcia - Te Boté - Remix,Honduras,,,,72,6/5/2019 0:00,37962,Freshers
Sam Smith - Too Good At Goodbyes,Honduras,,,,124,6/5/2019 0:00,18139,Freshers
Bad Bunny - MIA (feat. Drake),Honduras,,,,32,6/5/2019 0:00,74806,Freshers
Lady Gaga - Shallow,Honduras,,,,106,6/5/2019 0:00,28941,Freshers
The Chainsmokers - Closer,Honduras,,,,144,6/5/2019 0:00,16563,Freshers
Dua Lipa - IDGAF,Honduras,,,,138,6/5/2019 0:00,11668,Freshers
"DJ Snake - Taki Taki (with Selena Gomez, Ozuna & Cardi B)",Honduras,,,,66,6/5/2019 0:00,39934,Freshers
Calvin Harris - One Kiss (with Dua Lipa),Honduras,,,,111,6/5/2019 0:00,24644,Freshers
"Ariana Grande - thank u, next",Honduras,,,,123,6/5/2019 0:00,21567,Freshers
Maroon 5 - Girls Like You (feat. Cardi B),Honduras,,,,83,6/5/2019 0:00,34149,Freshers
Marshmello - Happier,Honduras,,,,57,6/5/2019 0:00,42349,Freshers
Imagine Dragons - Believer,Honduras,,,,51,6/5/2019 0:00,45821,Freshers
Ed Sheeran - Perfect,Honduras,,,,110,6/5/2019 0:00,26481,Freshers
Ed Sheeran - Shape of You,Honduras,,,,76,6/5/2019 0:00,35708,Freshers
Shawn Mendes - Señorita,Uruguay,6/24/2019 0:00,6,3,6,6/21/2019 0:00,93003,Freshers
Lunay - Soltera - Remix,Uruguay,6/5/2019 0:00,25,0,2,6/5/2019 0:00,485711,Freshers
Nicky Jam - Te Robaré,Uruguay,6/5/2019 0:00,10,0,6,6/5/2019 0:00,255431,Freshers
Shawn Mendes - If I Can't Have You,Uruguay,,,,128,6/5/2019 0:00,35843,Freshers
Anuel Aa - Secreto,Uruguay,,,,13,6/5/2019 0:00,190207,Freshers
Ed Sheeran - I Don't Care (with Justin Bieber),Uruguay,,,,34,6/5/2019 0:00,122092,Freshers
Jonas Brothers - Sucker,Uruguay,,,,148,6/5/2019 0:00,3388,Freshers
Billie Eilish - bury a friend,Uruguay,,,,156,6/5/2019 0:00,32854,Freshers
Queen - Bohemian Rhapsody - Remastered 2011,Uruguay,,,,135,6/5/2019 0:00,39131,Freshers
Daddy Yankee - Con Calma,Uruguay,6/5/2019 0:00,16,0,6,6/5/2019 0:00,267336,Freshers
Billie Eilish - bad guy,Uruguay,,,,43,6/5/2019 0:00,96196,Freshers
Ariana Grande - 7 rings,Uruguay,,,,63,6/5/2019 0:00,59595,Freshers
Nio Garcia - Te Boté - Remix,Uruguay,,,,125,6/5/2019 0:00,38273,Freshers
Bad Bunny - MIA (feat. Drake),Uruguay,,,,67,6/5/2019 0:00,64059,Freshers
