ArtistTrack,Country,DateMonth,Position,Streams,Group
The Chainsmokers - Something Just Like This,Global,6/1/2019 0:00,184.62,15484125,Global Average
Maroon 5 - Girls Like You (feat. Cardi B),Philippines,6/1/2018 0:00,1.06,3346130,Main Group
Marshmello - FRIENDS,Global,6/1/2019 0:00,192.66,3682504,Global Average
Imagine Dragons - Thunder,Lithuania,7/1/2017 0:00,1.87,98806,Main Group
Ed Sheeran - Shape of You,United States,3/1/2017 0:00,2.93,51382306,US of A
Luis Fonsi - Despacito - Remix,United Kingdom,7/1/2018 0:00,134,118707,Main Group
Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie),Mexico,3/1/2017 0:00,28.19,4616766,Laggards
Queen - Bohemian Rhapsody - Remastered 2011,Taiwan,2/1/2019 0:00,138.75,20023,Main Group
Nicky Jam - X,Costa Rica,3/1/2018 0:00,4.86,739786,Main Group
Jason Derulo - Swalla (feat. Nicki Minaj & Ty Dolla $ign),Global,5/1/2017 0:00,9.51,85561372,Global Average
Portugal. The Man - Feel It Still,Spain,10/1/2017 0:00,92.19,1134780,Main Group
5 Seconds of Summer - Youngblood,Singapore,8/1/2018 0:00,16.96,683402,Main Group
Starley - Call On Me - Ryan Riback Extended Remix,United Kingdom,4/1/2017 0:00,33.7,5182584,Main Group
Maroon 5 - Girls Like You (feat. Cardi B),Australia,7/1/2018 0:00,3.9,6294770,Main Group
Loud Luxury - Body (feat. Brando),Canada,9/1/2018 0:00,21.9,3109199,Main Group
Drake - In My Feelings,Denmark,8/1/2018 0:00,4.41,2236753,Main Group
Tiësto - Jackie Chan,Paraguay,8/1/2018 0:00,179.08,16154,Love you long time
"DJ Snake - Taki Taki (with Selena Gomez, Ozuna & Cardi B)",Global,4/1/2019 0:00,49.56,42475638,Global Average
Loud Luxury - Body (feat. Brando),United States,1/1/2019 0:00,173.87,7079931,US of A
Portugal. The Man - Feel It Still,Switzerland,5/1/2018 0:00,82.12,230991,Main Group
Nio Garcia - Te Boté - Remix,Argentina,9/1/2018 0:00,6.66,4754539,Love you long time
Imagine Dragons - Believer,Global,6/1/2019 0:00,89.64,27694281,Global Average
Bad Bunny - MIA (feat. Drake),Chile,1/1/2019 0:00,6.61,6452317,Love you long time
The Chainsmokers - Something Just Like This,Slovakia,4/1/2019 0:00,175.5,2096,Main Group
The Chainsmokers - Paris,Taiwan,4/1/2017 0:00,5.66,604459,Main Group
Imagine Dragons - Believer,Germany,4/1/2018 0:00,120.06,1753969,Main Group
Kygo - It Ain't Me (with Selena Gomez),Global,2/1/2018 0:00,176.03,16199884,Global Average
"Rudimental - These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Austria,11/1/2018 0:00,130.33,129596,Main Group
Sam Smith - Dancing With A Stranger (with Normani),United States,4/1/2019 0:00,55.03,13640576,US of A
Sam Smith - Too Good At Goodbyes,Global,6/1/2019 0:00,169.28,16892199,Global Average
"DJ Khaled - I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Philippines,9/1/2017 0:00,15.1,3449818,Main Group
The Chainsmokers - Closer,Global,6/1/2019 0:00,171.44,18162105,Global Average
Ava Max - Sweet but Psycho,Global,6/1/2019 0:00,47.71,41002765,Global Average
Luis Fonsi - Despacito (Featuring Daddy Yankee),Brazil,1/1/2017 0:00,168.28,266001,Main Group
Lady Gaga - Shallow,Indonesia,4/1/2019 0:00,39.63,1546875,Main Group
Martin Garrix - There for You,Italy,1/1/2018 0:00,194,17636,Laggards
Ed Sheeran - Castle on the Hill,Norway,8/1/2017 0:00,148.8,345442,Main Group
Maroon 5 - What Lovers Do (feat. SZA),Ecuador,2/1/2018 0:00,69.6,123118,Love you long time
ZAYN - Dusk Till Dawn - Radio Edit,Germany,1/1/2018 0:00,20.87,4695333,Main Group
"Calvin Harris - Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Indonesia,6/1/2017 0:00,20,503712,Main Group
The Chainsmokers - Closer,Bolivia,8/1/2017 0:00,100.77,30439,Love you long time
Rita Ora - Your Song,Germany,8/1/2017 0:00,15.74,6108728,Main Group
French Montana - Unforgettable,Ireland,2/1/2019 0:00,166.46,166301,Main Group
Maggie Lindemann - Pretty Girl - Cheat Codes X CADE Remix,Denmark,3/1/2018 0:00,157.25,288808,Main Group
Dua Lipa - IDGAF,Germany,3/1/2018 0:00,8.35,6960758,Main Group
NF - Let You Down,United States,10/1/2017 0:00,21.33,12065343,US of A
Ed Sheeran - Castle on the Hill,Brazil,6/1/2017 0:00,186.4,196798,Main Group
Sam Smith - Dancing With A Stranger (with Normani),Global,6/1/2019 0:00,52.82,38252993,Global Average
Imagine Dragons - Believer,Peru,4/1/2017 0:00,109.96,245588,Love you long time
Ed Sheeran - Castle on the Hill,Global,4/1/2017 0:00,35.16,49048459,Global Average
The Weeknd - I Feel It Coming,Chile,2/1/2017 0:00,34.75,1197374,Love you long time
Queen - Bohemian Rhapsody - Remastered 2011,Global,6/1/2019 0:00,70.64,31115550,Global Average
Marshmello - Silence,Germany,8/1/2017 0:00,66,1980488,Main Group
Zedd - Stay (with Alessia Cara),Portugal,7/1/2017 0:00,35.25,298772,Main Group
Lauv - I Like Me Better,United States,11/1/2017 0:00,109.16,7581968,US of A
Jonas Blue - Rise,Switzerland,9/1/2018 0:00,17.06,564498,Main Group
Kygo - It Ain't Me (with Selena Gomez),Norway,4/1/2017 0:00,3.16,3969065,Main Group
Ed Sheeran - Galway Girl,Austria,3/1/2017 0:00,5.03,471577,Main Group
Marshmello - FRIENDS,South Africa,1/1/2019 0:00,97.67,42489,Main Group
Billie Eilish - bad guy,Global,5/1/2019 0:00,1.7,173515618,Global Average
Mariah Carey - All I Want for Christmas Is You,South Africa,12/1/2018 0:00,41.38,72814,Main Group
"Calvin Harris - Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Germany,11/1/2017 0:00,142.04,934961,Main Group
Luis Fonsi - Despacito (Featuring Daddy Yankee),Latvia,5/1/2017 0:00,35.59,36532,Main Group
Ariana Grande - no tears left to cry,Canada,6/1/2018 0:00,19.86,3499928,Main Group
Ellie Goulding - Close To Me (with Diplo) (feat. Swae Lee),Vietnam,5/1/2019 0:00,84.54,72271,Freshers
Ed Sheeran - Shape of You,United States,9/1/2018 0:00,192,1615356,US of A
XXXTENTACION - Arms Around You (feat. Maluma & Swae Lee),Global,11/1/2018 0:00,8.8,84672645,Global Average
Dua Lipa - IDGAF,Hong Kong,11/1/2018 0:00,133.86,90901,Main Group
Ed Sheeran - Shape of You,United Kingdom,6/1/2018 0:00,74.96,2883221,Main Group
James Arthur - Say You Won't Let Go,United Kingdom,9/1/2017 0:00,90,1849919,Main Group
French Montana - Unforgettable,France,2/1/2018 0:00,179.13,564798,Laggards
Macklemore - Glorious (feat. Skylar Grey),New Zealand,3/1/2018 0:00,95.32,266020,Main Group
Zedd - The Middle,Netherlands,3/1/2018 0:00,9.9,4383188,Main Group
French Montana - Unforgettable,United States,9/1/2017 0:00,8.8,27291537,US of A
Portugal. The Man - Feel It Still,New Zealand,8/1/2017 0:00,62.41,293918,Main Group
Maroon 5 - What Lovers Do (feat. SZA),Indonesia,1/1/2018 0:00,12.8,1623377,Main Group
Ed Sheeran - Shape of You,Global,6/1/2018 0:00,56,36210667,Global Average
Loud Luxury - Body (feat. Brando),Denmark,9/1/2018 0:00,7.72,1099416,Main Group
Imagine Dragons - Believer,Thailand,10/1/2018 0:00,194.05,40887,Freshers
Maroon 5 - Girls Like You (feat. Cardi B),Sweden,7/1/2018 0:00,21.29,2614186,Main Group
Camila Cabello - Never Be the Same,Chile,2/1/2018 0:00,174.3,190714,Love you long time
Zedd - Stay (with Alessia Cara),Switzerland,4/1/2017 0:00,10.06,544023,Main Group
Clean Bandit - I Miss You (feat. Julia Michaels),Lithuania,12/1/2017 0:00,19.04,41201,Main Group
Jason Derulo - Swalla (feat. Nicki Minaj & Ty Dolla $ign),Czech Republic,9/1/2017 0:00,62.13,81469,Main Group
